WeekNumber,FromDate,ToDate,ScheduleA,ScheduleB
Week 2,05-Jan-15,11-Jan-15,"Green, Garbage, Blue","Green, Black"
Week 3,12-Jan-15,18-Jan-15,"Green, Black","Green, Garbage, Blue"
Week 4,19-Jan-15,25-Jan-15,"Green, Garbage, Blue","Green, Black"
Week 5,26-Jan-15,01-Feb-15,"Green, Black","Green, Garbage, Blue"
Week 6,02-Feb-15,08-Feb-15,"Green, Garbage, Blue","Green, Black"
Week 7,09-Feb-15,15-Feb-15,"Green, Black","Green, Garbage, Blue"
Week 8,16-Feb-15,22-Feb-15,"Green, Garbage, Blue","Green, Black"
Week 9,23-Feb-15,01-Mar-15,"Green, Black","Green, Garbage, Blue"
Week 10,02-Mar-15,08-Mar-15,"Green, Garbage, Blue","Green, Black"
Week 11,09-Mar-15,15-Mar-15,"Green, Black","Green, Garbage, Blue"
Week 12,16-Mar-15,22-Mar-15,"Green, Garbage, Blue","Green, Black"
Week 13,23-Mar-15,29-Mar-15,"Green, Black","Green, Garbage, Blue"
Week 14,30-Mar-15,05-Apr-15,"Green, Garbage, Blue","Green, Black"
Week 15,06-Apr-15,12-Apr-15,"Green, Black","Green, Garbage, Blue"
Week 16,13-Apr-15,19-Apr-15,"Green, Garbage, Blue","Green, Black"
Week 17,20-Apr-15,26-Apr-15,"Green, Black","Green, Garbage, Blue"
Week 18,27-Apr-15,03-May-15,"Green, Garbage, Blue","Green, Black"
Week 19,04-May-15,10-May-15,"Green, Black","Green, Garbage, Blue"
Week 20,11-May-15,17-May-15,"Green, Garbage, Blue","Green, Black"
Week 21,18-May-15,24-May-15,"Green, Black","Green, Garbage, Blue"
Week 22,25-May-15,31-May-15,"Green, Garbage, Blue","Green, Black"
Week 23,01-Jun-15,07-Jun-15,"Green, Black","Green, Garbage, Blue"
Week 24,08-Jun-15,14-Jun-15,"Green, Garbage, Blue","Green, Black"
Week 25,15-Jun-15,21-Jun-15,"Green, Black","Green, Garbage, Blue"
Week 26,22-Jun-15,28-Jun-15,"Green, Garbage, Blue","Green, Black"
Week 27,29-Jun-15,05-Jul-15,"Green, Black","Green, Garbage, Blue"
Week 28,06-Jul-15,12-Jul-15,"Green, Garbage, Blue","Green, Black"
Week 29,13-Jul-15,19-Jul-15,"Green, Black","Green, Garbage, Blue"
